category,price_elasticity,p_value,r_squared,n_obs,significant
watches_gifts,-3.060168051885029,6.207221465505173e-06,0.7714728601125799,20,True
industry_commerce_and_business,-2.3171279626311687,0.005654331001661973,0.6579978058064655,18,True
electronics,-2.002467825843067,0.00020215143168911403,0.6763956319402706,20,True
auto,-1.9407039261409267,0.002192581922306208,0.6289061774506904,20,True
furniture_living_room,-1.8819332092117178,0.0058492249088563045,0.4848742467849999,20,True
garden_tools,-1.294904543617292,0.011367069447119916,0.5892281478468253,20,True
home_confort,-1.2693124999166132,0.16036915790087844,0.3681253253214881,19,False
computers,-1.1871102326483047,0.1022815096092537,0.3813309030371337,13,False
office_furniture,-1.1847614412432743,0.3904200545801486,0.5257150696136457,20,False
construction_tools_lights,-1.1252023962528725,0.2559453011212506,0.4782863283431167,14,False
books_technical,-1.0080698400868142,0.015104045607576333,0.544519236490606,19,True
home_appliances,-0.968926028227051,0.1583860853690054,0.22800638569386,19,False
air_conditioning,-0.8288694753504731,0.02695961851280142,0.4483390003501553,20,True
home_construction,-0.772220993690528,0.19401159282778396,0.4805587292164816,19,False
stationery,-0.7332695724064562,0.47668424423237266,0.4569809069431576,20,False
books_general_interest,-0.7048176407347593,0.06967299521675942,0.3772969971359804,20,False
drinks,-0.6385355686081838,0.6193437878984027,0.3019275441018888,17,False
musical_instruments,-0.6095877536670193,0.04935433350494116,0.5586868190838539,20,True
books_imported,-0.5457161103730253,0.1265324761957629,0.4328687948470994,14,False
consoles_games,-0.5326027709660645,0.013433096633619704,0.5058443987953642,20,True
construction_tools_safety,-0.5292006783200037,0.3655962965270181,0.33345044957610714,14,False
costruction_tools_garden,-0.479613475602369,0.06411697525208417,0.5249870910560347,18,False
christmas_supplies,-0.47645859439330096,0.14281953516742285,0.6130407195300143,16,False
cine_photo,-0.47585579599864036,0.051675683445683324,0.6989977955758642,15,False
fashion_male_clothing,-0.45163381676823366,0.13335562463958525,0.7170716358961846,19,False
costruction_tools_tools,-0.3762020718754371,0.14438712962302883,0.5096978255734854,14,False
small_appliances,-0.3455043261047548,0.1560213750032704,0.4250037780911383,20,False
furniture_bedroom,-0.3175241849029127,0.24957855603220655,0.2501458444274067,19,False
fashion_sport,-0.3160843029581045,0.44907606660511434,0.20084754121866077,14,False
perfumery,-0.30688096982440616,0.3697893603894782,0.42991575687994943,20,False
pet_shop,-0.26378091387351676,0.6412985588445396,0.7474718970471298,20,False
signaling_and_security,-0.2312100009026538,0.5262941099673881,0.17976847438550236,18,False
cool_stuff,-0.1777102975995999,0.8500827901985406,0.3325981905667579,20,False
housewares,-0.12713216972876218,0.8745149456454612,0.6514923843440632,20,False
food,-0.10051967968107761,0.8073330555204827,0.3979840761373865,20,False
fixed_telephony,-0.09955666130461427,0.49270713681331557,0.2287010702187806,20,False
agro_industry_and_commerce,-0.08576222568309556,0.6731697474743081,0.2329431385909314,19,False
fashion_bags_accessories,-0.05599159881934668,0.9813702496824991,0.48762266464659987,20,False
party_supplies,-0.024293656194923713,0.9018320107054043,0.38496235316442784,12,False
dvds_blu_ray,-0.014574301767129455,0.8977408929558007,0.22147516451898452,20,False
market_place,0.032639936834537045,0.9114700322823096,0.26047609573506103,20,False
home_comfort_2,0.033199425806939215,0.8656650299356071,0.22141690786944646,14,False
music,0.08306902102065394,0.8535253856305787,0.20634470820678408,14,False
audio,0.08480089827055903,0.7127058465570408,0.07748321458348939,19,False
furniture_decor,0.16663223618057765,0.8600647147216628,0.443811725316442,20,False
bed_bath_table,0.27307570512058277,0.8645933213797974,0.4203705407363165,20,False
fashion_underwear_beach,0.32410125072567997,0.09411319876332153,0.24801535656489138,20,False
food_drink,0.3471535293748129,0.3420140350188806,0.5049618646180083,18,False
kitchen_dining_laundry_garden_furniture,0.3812362747798621,0.4492527305285281,0.25983781341270795,20,False
fashion_shoes,0.5532099357731238,0.20068020557117555,0.3439944929252088,20,False
fashio_female_clothing,0.5606449776117897,0.0026537114574993253,0.796510979106873,15,True
home_appliances_2,0.5974965568030941,0.005399441159313115,0.6467134392222409,20,True
construction_tools_construction,0.6892912106262208,0.6784199512587767,0.2908242239066847,18,False
art,0.7112851034528725,0.16591178319081806,0.37655362696126027,18,False
telephony,0.7927627907439354,0.1749998778848272,0.5213847133358063,20,False
tablets_printing_image,0.8297805960132048,0.19106344842342401,0.1985477943859859,17,False
luggage_accessories,0.9574190220655128,0.23316020425115153,0.5409774559023266,20,False
toys,0.994813364810712,0.28576213708329223,0.28392861639753886,20,False
baby,1.0006703545910702,0.07643776931001037,0.6526881168472535,20,False
health_beauty,1.244052273945326,0.25986772485277154,0.6179834901230733,20,False
computers_accessories,1.735951745978015,0.0030804561174500897,0.6685419755635968,20,True
sports_leisure,2.45005727491135,0.09665119340265284,0.3400968507372423,20,False
